date,symbol,entry/exit,qty,price
2025-07-07 08:40:21.934741-04:00,ARTL,Entry,335,23.47
2025-07-07 14:54:39.739869-04:00,MBRX,Entry,12320,0.3819
2025-07-07 14:54:39.738031-04:00,SRFM,Entry,1053,4.467
2025-07-07 14:54:39.739545-04:00,ALT,Entry,993,4.465
2025-07-07 14:54:41.741557-04:00,PET,Entry,22149,0.22
2025-07-07 14:54:43.741393-04:00,VOR,Entry,2223,2.855
2025-07-07 14:54:45.743324-04:00,INMB,Entry,1819,2.305
2025-07-07 14:54:47.745103-04:00,GCTK,Entry,650,6.395
2025-07-07 14:54:47.743407-04:00,BIAF,Entry,13943,0.3044
2025-07-07 14:54:49.743655-04:00,ICU,Entry,8885,0.5368
2025-07-07 15:05:13.894512-04:00,PET,Entry,22149,0.22
2025-07-07 15:10:47.007535-04:00,ALT,Entry,993,4.465
2025-07-17 04:00:29.784479-04:00,BTCS,Entry,661,6.56
2025-07-21 04:23:08.169008-04:00,LMFA,Entry,1231,4.0
2025-07-22 04:00:00.718662-04:00,ATNF,Entry,1370,3.14
2025-07-22 04:44:03.090451-04:00,DFLI,Entry,11259,0.3745
2025-07-22 04:47:21.795107-04:00, DFLI, Exit, 11259, 0.3887
2025-07-23 04:00:00.918234-04:00,KSS,Entry,270,15.02
2025-07-23 04:00:01.918488-04:00,DFLI,SKIP,8172,0.5045
2025-07-23 04:00:02.576866-04:00,YHC,SKIP,2210,1.82
2025-07-23 04:00:02.576932-04:00,XXII,SKIP,1266,3.32
2025-07-23 04:00:04.918746-04:00,SDST,SKIP,9963,0.4075
2025-07-23 04:02:48.988123-04:00,DYNX,SKIP,333,12.08
2025-07-23 04:03:08.963274-04:00,BENF,SKIP,9723,0.42
2025-07-23 04:03:10.963075-04:00,SONN,SKIP,760,5.65
2025-07-23 04:05:00.989281-04:00,ALBT,SKIP,1607,2.5
2025-07-23 04:15:37.390527-04:00,CGTX,SKIP,5103,0.7884
2025-07-23 04:24:08.324946-04:00,KSS,Exit,270,14.1
2025-07-23 04:24:09.482975-04:00,NCPL,SKIP,1254,3.25
2025-07-23 04:38:58.138693-04:00,IVF,SKIP,1187,3.4
2025-07-23 04:47:42.383256-04:00,HSDT,SKIP,477,8.69
2025-07-23 05:09:55.936883-04:00,WINT,SKIP,3670,1.1
2025-07-23 06:51:03.276920-04:00,ATNF,SKIP,1620,2.5
2025-07-23 06:52:08.314778-04:00,DARE,SKIP,1533,2.62
2025-07-23 07:00:00.369589-04:00,CYCC,SKIP,354,11.53
2025-07-23 08:15:02.627793-04:00,NUWE,SKIP,269,15.0
2025-07-23 08:38:47.644240-04:00,VSEE,SKIP,2837,1.44
2025-07-23 09:30:01.366876-04:00,BSLK,SKIP,1439,2.81
2025-07-23 09:47:26.619496-04:00,REPL,SKIP,1370,2.925
2025-07-23 10:03:33.043682-04:00,GCTK,SKIP,545,7.3908
2025-07-23 10:03:48.051470-04:00,UAVS,SKIP,1770,2.27
2025-07-23 10:08:54.185683-04:00,WKHS,SKIP,1905,2.11
2025-07-23 10:31:41.506154-04:00,SQFT,SKIP,494,8.2
2025-07-23 10:35:37.842264-04:00,SLE,SKIP,688,5.855
2025-07-23 10:44:36.777171-04:00,MRKR,SKIP,2470,1.6376
2025-07-23 10:53:36.888583-04:00,MEIP,SKIP,596,6.7495
2025-07-23 11:21:51.221861-04:00,SABS,SKIP,1521,2.64
2025-07-23 11:22:45.252532-04:00,GNLN,SKIP,976,4.12
2025-07-23 12:14:08.111683-04:00,PET,SKIP,32000,0.1251
2025-07-23 13:05:32.951542-04:00,QTTB,SKIP,1717,2.3444
2025-07-24 04:00:01.755895-04:00,DYNX,Entry,353,11.65
2025-07-24 04:00:03.521574-04:00,CGTX,SKIP,4878,0.8252
2025-07-24 04:00:03.522152-04:00,AGH,SKIP,2210,2.07
2025-07-24 04:00:03.522199-04:00,TNFA,SKIP,34753,0.1159
2025-07-24 04:00:03.522114-04:00,REPL,SKIP,1213,3.33
2025-07-24 04:00:23.761940-04:00,IMNN,SKIP,7397,0.55
2025-07-24 04:00:31.764596-04:00,DFLI,SKIP,9783,0.4115
2025-07-24 04:00:34.764713-04:00,AMOD,SKIP,2273,1.77
2025-07-24 04:03:11.829441-04:00,GAME,SKIP,3125,1.29
2025-07-24 04:03:13.830540-04:00,UAVS,SKIP,1216,3.37
2025-07-24 04:03:29.838147-04:00,IVF,SKIP,1563,2.69
2025-07-24 04:09:52.042117-04:00,SABS,SKIP,1516,2.73
2025-07-24 04:11:20.043137-04:00,HSDT,SKIP,441,9.17
2025-07-24 04:17:44.236386-04:00,BENF,SKIP,9926,0.435
2025-07-24 04:27:32.604561-04:00,CYCC,SKIP,276,14.65
2025-07-24 04:35:49.787021-04:00,SXTP,SKIP,2858,1.41
2025-07-24 04:37:06.737307-04:00,GCTK,SKIP,485,8.32
2025-07-24 04:39:06.696072-04:00,DYNX,Exit,353,11.05
2025-07-24 04:39:45.995671-04:00,KAPA,SKIP,3961,1.02
2025-07-24 06:40:26.824416-04:00,YYAI,SKIP,1681,2.41
2025-07-24 07:00:32.028343-04:00,PET,SKIP,32442,0.1247
2025-07-24 08:00:01.778148-04:00,QTTB,SKIP,1710,2.37
2025-07-24 08:17:26.684909-04:00,ATNF,SKIP,1703,2.3601
2025-07-24 08:45:10.908441-04:00,AIRE,SKIP,9152,0.4373
2025-07-24 09:00:06.105209-04:00,WINT,SKIP,3961,1.09
2025-07-24 09:32:20.488776-04:00,KSS,SKIP,320,12.6
2025-07-24 09:44:49.686031-04:00,TELO,SKIP,1887,2.125
2025-07-24 09:53:15.567421-04:00,XXII,SKIP,1283,3.13
2025-07-24 10:03:13.895911-04:00,MEIP,SKIP,615,6.525
2025-07-24 10:29:03.182096-04:00,GPRO,SKIP,2454,1.64
2025-07-24 10:43:55.273480-04:00,XPON,SKIP,2798,1.45
2025-07-24 10:53:59.756027-04:00,BTCS,SKIP,661,6.07
2025-07-28 04:00:00.802080-04:00,BTCS,Entry,734,5.65
2025-07-28 04:00:01.803115-04:00,WINT,SKIP,3884,1.04
2025-07-28 04:00:02.399384-04:00,LIDR,SKIP,843,5.04
2025-07-28 04:00:02.399638-04:00,HCTI,SKIP,56658,0.0749
2025-07-28 04:00:02.400098-04:00,GAME,SKIP,3362,1.23
2025-07-28 04:00:03.399994-04:00,PHIO,SKIP,1466,2.8
2025-07-28 04:00:06.804157-04:00,DYNX,SKIP,356,11.45
2025-07-28 04:00:10.803997-04:00,UAVS,SKIP,1366,3.0
2025-07-28 04:00:27.809541-04:00,DFLI,SKIP,9477,0.4462
2025-07-28 04:02:14.833199-04:00,QTTB,SKIP,1794,2.28
2025-07-28 04:02:52.875312-04:00,MCVT,SKIP,308,13.15
2025-07-28 04:03:23.891850-04:00,ATNF,SKIP,1380,2.97
2025-07-28 04:04:59.944198-04:00,LMFA,SKIP,1308,3.12
2025-07-28 04:05:38.965508-04:00,AMOD,SKIP,2759,1.48
2025-07-28 04:13:52.232292-04:00,GPRO,SKIP,2598,1.56
2025-07-28 04:13:54.184300-04:00,XXII,SKIP,1254,3.2
2025-07-28 04:23:48.558768-04:00,BSLK,SKIP,1539,2.77
2025-07-28 04:28:51.721041-04:00,YHC,SKIP,2140,1.89
2025-07-28 05:03:35.788004-04:00,CGTX,SKIP,4596,0.88
2025-07-28 05:06:15.910149-04:00,YYAI,SKIP,1187,3.38
2025-07-28 07:09:21.181286-04:00,AIRE,SKIP,9054,0.445
2025-07-28 07:24:01.416145-04:00,AGH,SKIP,1660,2.44
2025-07-29 04:00:02.994342-04:00,AIRE,Entry,9996,0.4163
2025-07-29 04:02:14.044718-04:00,PFSA,SKIP,2942,1.39
2025-07-29 04:04:49.078376-04:00,LMFA,SKIP,1844,2.19
2025-07-29 04:05:33.153188-04:00,ALBT,SKIP,1409,2.85
2025-07-29 04:06:03.143729-04:00,SABS,SKIP,1516,2.65
2025-07-29 04:06:22.178601-04:00,LIDR,SKIP,910,4.41
2025-07-29 04:10:32.314916-04:00,PET,SKIP,45715,0.0888
2025-07-29 04:21:39.562159-04:00,BENF,SKIP,10334,0.389
2025-07-29 04:30:53.900861-04:00,IVF,SKIP,1794,2.28
2025-07-29 05:19:20.891793-04:00,MEIP,SKIP,634,6.32
2025-07-29 05:46:25.473699-04:00,NXTC,SKIP,706,5.79
2025-07-29 07:08:36.634763-04:00,CASK,SKIP,6110,0.6582
2025-07-29 07:31:14.876366-04:00,DFLI,SKIP,10091,0.4066
2025-07-29 08:07:24.404453-04:00,VWAV,SKIP,433,9.25
2025-07-29 08:15:41.507756-04:00,UAVS,SKIP,1600,2.51
2025-07-29 08:30:56.743724-04:00,BLNE,SKIP,1778,2.27
2025-07-29 09:28:14.863203-04:00,AIRE,Exit,9996,0.37
2025-07-29 09:38:40.364396-04:00,CRVO,SKIP,439,9.18
2025-07-29 09:48:10.519645-04:00,REPL,SKIP,1205,3.33
2025-07-29 10:13:47.793549-04:00,MCVT,SKIP,592,6.7691
2025-07-29 11:57:00.631072-04:00,CLSD,SKIP,8506,0.4723
2025-07-29 15:21:28.253067-04:00,TELO,SKIP,1835,2.1809
